age,study_hours,attendance,math,science,english,previous,final_marks
22,7.08,86.2,46,51,56,73,61.5
19,1.28,73.33,61,43,25,69,37.37
23,7.64,56.21,95,69,56,59,73.39
20,2.6,96.24,87,78,20,60,67.54
16,9.78,40.77,48,84,29,87,71.85
19,10.42,83.56,55,57,45,84,57.87
18,6.3,62.87,76,57,36,65,53.37
24,9.62,71.35,97,40,83,59,76.3
23,2.6,57.49,31,42,46,77,38.8
16,6.41,59.28,64,65,94,46,70.04
21,5.33,40.91,39,88,87,56,63.94
24,7.72,83.79,64,49,37,92,65.73
22,1.49,82.65,42,59,69,43,57.49
19,9.27,79.26,81,89,84,55,81.96
16,1.87,92.68,53,88,39,72,71.05
17,8.22,94.08,40,61,81,30,61.37
20,1.2,73.39,70,37,94,53,62.52
20,10.15,81.09,28,78,78,49,61.5
23,2.92,40.66,93,32,44,37,50.78
21,6.67,90.78,29,40,84,59,61.16
23,3.88,88.98,71,87,84,47,77.16
17,8.95,41.21,64,96,86,42,80.05
18,4.53,72.57,71,96,77,77,78.05
21,8.97,94.4,49,96,59,89,77.76
18,4.13,50.88,83,80,66,55,73.68
21,9.28,61.16,21,57,62,38,50.3
21,1.34,59.86,68,59,27,82,64.06
17,4.12,61.36,64,46,81,38,60.17
22,6.48,42.51,36,77,53,55,51.87
17,1.5,56.74,47,95,27,62,60.77
21,3.05,57.69,64,85,44,62,63.28
16,11.28,91.95,36,62,45,81,55.43
18,11.75,61.13,78,39,73,69,65.87
17,9.14,66.83,33,54,60,33,57.8
22,3.77,62.84,29,74,99,57,57.55
19,3.87,47.24,97,93,91,83,84.2
23,8.1,99.42,37,91,82,78,74.64
21,2.29,89.55,54,59,91,35,60.35
19,11.43,72.46,67,65,94,62,72.85
20,3.47,68.58,77,98,26,34,72.02
24,12.0,78.96,37,61,88,47,63.53
22,6.45,59.59,71,37,69,32,51.28
24,9.49,43.02,49,34,62,31,51.95
22,1.02,64.26,56,85,36,94,67.04
16,10.78,99.04,59,32,40,64,57.98
23,3.97,50.94,25,76,25,80,52.45
19,8.35,71.66,98,28,90,64,75.95
18,9.87,40.51,54,85,94,73,76.71
22,2.81,47.32,45,35,57,58,43.58
18,5.87,75.23,49,21,82,65,49.19
23,6.43,57.84,94,35,31,71,60.22
21,4.43,94.34,43,91,41,36,52.23
20,6.3,64.37,74,20,22,42,39.49
19,4.49,52.48,97,45,38,51,68.31
23,4.97,72.74,28,63,62,86,60.56
23,8.36,87.7,81,24,86,74,68.23
16,7.96,41.17,37,40,24,83,52.53
24,3.55,70.33,70,54,48,31,58.29
20,10.87,86.41,38,73,24,86,60.22
19,10.49,46.22,88,69,64,63,70.48
21,6.6,94.17,52,63,73,73,65.22
21,5.77,55.87,57,23,43,82,53.29
17,5.15,50.24,32,61,40,91,54.6
23,8.78,75.36,68,60,51,62,75.67
22,8.39,50.5,92,55,24,30,61.54
16,3.16,80.78,72,43,81,64,50.97
20,8.39,69.41,20,24,37,54,38.38
21,3.78,46.6,31,76,54,33,39.43
19,1.2,94.75,43,86,99,39,65.75
17,8.69,80.39,20,30,24,49,40.43
19,8.09,72.76,87,64,28,69,76.6
16,5.52,62.46,26,41,23,44,31.65
22,6.78,48.09,88,30,52,57,61.55
17,11.42,82.45,58,57,41,64,70.62
17,7.55,88.82,51,78,78,36,69.11
24,8.24,47.55,68,23,30,83,47.76
20,1.7,69.67,50,86,88,71,79.64
17,2.83,69.09,98,29,29,67,61.37
24,4.31,60.99,22,38,22,93,38.68
24,6.93,87.36,66,47,34,86,51.8
16,9.54,45.97,34,36,56,58,46.47
18,4.53,52.3,70,43,59,35,51.94
19,4.92,40.1,93,20,36,31,41.72
22,3.82,62.38,40,24,39,68,46.85
19,3.8,57.47,60,51,23,35,50.31
17,11.44,92.02,22,72,53,43,53.68
22,7.99,84.75,20,76,53,47,52.07
21,2.71,45.07,40,62,86,51,55.12
18,8.94,84.46,94,58,47,42,65.88
21,8.94,80.52,99,53,98,39,94.81
21,8.33,56.9,40,97,55,56,63.91
20,2.48,40.93,94,99,54,43,75.5
19,5.49,46.91,68,24,60,38,46.88
16,2.17,55.0,84,37,78,38,51.3
21,9.98,89.0,60,23,93,86,58.71
17,8.21,67.92,86,89,36,64,81.63
18,6.58,95.1,61,30,49,55,51.21
23,4.77,87.35,88,66,73,70,78.22
21,3.03,57.23,76,50,71,59,65.57
18,2.17,90.72,62,32,91,58,60.84
22,11.66,47.0,31,42,42,43,43.2
19,3.2,42.17,97,84,38,81,83.22
24,1.66,76.51,83,87,56,68,78.81
20,11.58,60.5,70,49,78,50,71.35
18,7.04,59.77,92,50,55,35,67.21
17,9.76,81.23,79,66,87,84,74.61
17,1.48,91.01,90,35,45,69,63.33
18,7.24,59.33,99,62,46,54,71.24
17,5.38,59.5,47,22,96,33,46.61
19,9.49,72.03,90,31,81,63,65.21
17,1.42,79.19,33,95,81,51,69.76
24,5.42,52.17,51,30,71,85,47.14
17,9.79,94.76,27,35,63,75,49.6
24,6.75,79.26,46,48,52,85,57.49
21,7.05,77.51,69,40,82,56,63.71
16,2.07,94.25,78,77,91,64,79.62
19,2.46,94.44,76,62,99,45,78.34
16,8.45,48.13,22,24,88,49,48.84
21,8.43,48.7,46,71,53,44,59.88
19,11.77,85.72,53,32,46,53,51.86
18,8.83,97.41,45,31,55,91,47.96
18,6.43,79.99,59,20,23,73,44.63
24,10.43,64.68,51,27,72,43,52.15
21,2.15,81.01,60,35,90,80,62.98
24,5.94,53.73,21,34,56,51,39.76
20,4.16,99.88,91,38,98,61,78.06
17,2.15,65.87,26,44,69,54,43.08
23,9.4,95.9,38,50,89,78,61.83
20,6.62,65.85,52,21,45,52,47.02
17,7.12,95.69,21,78,44,66,56.36
19,5.52,60.14,86,50,52,32,63.91
24,6.06,85.63,97,87,86,89,89.98
19,2.28,97.06,34,87,92,88,70.38
19,8.4,78.76,40,31,56,52,47.16
17,5.76,80.65,97,36,57,62,66.99
21,9.98,46.17,78,48,46,83,72.11
17,3.16,68.45,58,55,32,68,50.61
22,3.26,93.21,39,99,42,54,59.54
18,8.1,54.45,20,82,86,92,68.07
18,10.31,87.3,92,34,74,88,73.43
20,6.19,80.54,28,49,56,60,56.55
18,9.0,53.38,70,70,31,78,69.66
17,11.99,56.97,57,30,73,89,66.72
24,11.89,65.65,34,76,39,93,68.02
17,9.19,47.51,60,32,37,67,48.45
17,9.14,94.8,66,74,26,37,63.82
23,3.72,84.36,45,82,95,42,72.01
24,10.17,61.9,73,21,21,55,49.49
22,5.46,57.98,89,91,73,39,75.46
18,11.58,81.37,58,75,27,85,72.16
24,1.9,65.45,36,26,52,33,36.28
18,5.79,53.76,89,62,65,60,73.33
20,7.11,65.81,28,50,61,46,52.33
24,5.46,92.28,65,80,82,37,80.32
18,3.32,44.12,25,41,96,81,53.09
22,7.52,62.1,87,81,52,66,66.69
16,9.32,97.74,35,47,88,49,60.66
19,8.09,40.89,48,44,89,76,63.2
19,3.58,93.44,60,84,23,80,55.11
22,9.05,62.49,87,51,77,87,83.53
23,3.83,51.37,81,67,48,73,53.82
16,2.93,40.9,59,99,40,40,66.78
20,8.6,44.23,81,43,45,41,52.02
22,10.27,50.31,43,61,60,39,63.52
19,6.3,41.52,25,89,97,83,72.05
19,6.85,60.15,59,97,53,63,79.79
19,4.33,42.69,89,55,63,59,70.03
21,6.44,81.53,77,50,20,44,57.71
22,2.45,89.13,33,46,51,37,42.46
17,11.51,93.25,97,85,51,69,77.28
20,9.8,72.95,64,64,70,51,80.22
19,8.35,96.79,25,63,43,34,47.78
18,6.92,40.34,42,76,63,49,62.37
22,9.71,48.04,81,40,95,78,69.48
21,6.44,57.59,36,74,56,81,55.18
22,4.3,87.34,89,34,85,48,66.95
20,2.76,93.12,47,53,33,43,49.94
21,8.12,77.09,32,22,36,36,46.41
20,11.22,62.99,48,20,34,86,53.33
22,2.69,79.95,64,43,80,39,59.64
17,2.98,50.85,39,62,68,51,53.73
20,5.77,67.47,77,46,27,34,55.61
21,9.88,70.45,73,28,22,53,50.45
21,4.23,46.29,83,36,94,44,66.04
20,3.79,42.03,71,58,46,55,54.68
22,7.82,85.01,62,74,28,84,62.8
23,6.89,72.08,37,87,34,47,57.79
22,1.66,59.93,73,64,51,72,64.5
20,1.9,66.23,79,47,30,35,51.6
16,8.07,97.46,90,75,22,74,73.87
20,6.12,63.09,20,48,45,54,38.49
17,11.68,46.21,56,48,26,45,46.94
20,8.46,67.82,68,88,74,84,80.19
20,1.11,78.88,54,30,58,85,41.74
17,6.29,40.73,86,21,23,58,54.08
20,5.56,59.94,54,87,49,93,62.16
19,2.17,63.61,28,29,57,30,34.54
16,11.16,67.82,56,91,70,74,80.7
18,9.86,58.1,79,46,97,55,78.1
16,3.53,80.02,75,54,55,79,67.75
20,3.82,96.68,31,69,79,56,61.84
19,1.35,94.84,90,93,70,64,94.03
22,4.26,79.86,90,21,95,58,60.38
20,7.43,70.41,23,36,68,36,46.18
19,5.63,89.55,80,99,34,91,81.93
17,11.66,90.16,64,43,92,63,72.81
19,1.62,89.77,69,76,47,77,64.11
17,7.51,49.47,69,90,44,34,71.35
23,10.44,41.53,93,35,99,37,75.05
18,6.29,98.99,67,55,55,72,71.21
24,1.03,97.58,42,64,23,81,52.61
19,3.67,73.86,27,29,40,30,25.05
21,4.56,99.58,48,82,84,67,75.23
20,11.63,86.23,62,62,88,36,70.39
16,11.03,71.04,72,70,29,85,68.69
24,11.44,63.36,25,98,69,75,65.19
16,10.08,75.57,43,22,29,53,43.46
23,4.87,70.95,93,85,35,64,84.27
24,10.96,99.63,33,54,57,71,64.05
24,11.8,69.43,71,88,86,73,79.58
16,4.85,90.16,89,98,39,33,74.75
17,3.87,88.82,23,55,88,53,59.01
16,7.02,44.28,77,68,89,48,73.26
17,3.06,45.22,98,20,44,79,46.67
23,1.36,79.59,56,95,73,47,66.98
20,11.4,55.55,67,61,31,57,69.48
22,11.18,79.45,58,60,84,58,78.83
17,2.79,48.68,85,92,73,74,78.97
23,5.49,63.82,32,76,86,36,59.59
21,10.14,46.15,85,39,40,74,51.89
23,8.27,56.93,79,33,24,55,53.16
16,5.34,45.3,60,71,77,78,66.36
16,9.19,98.23,51,73,98,47,64.6
22,10.87,63.7,71,68,23,69,60.67
23,11.19,94.07,24,49,38,47,41.67
18,5.17,98.27,86,22,74,76,64.31
20,2.91,94.57,85,31,80,30,68.71
16,11.04,67.3,97,50,91,62,80.3
22,2.02,86.73,71,56,43,68,60.83
20,8.94,49.22,68,46,87,52,79.02
23,2.55,45.69,48,43,38,43,34.08
23,5.28,92.61,57,60,43,73,60.99
24,5.53,41.87,89,83,73,66,85.22
22,2.75,98.34,27,30,40,66,40.47
16,11.15,80.33,78,92,91,57,80.07
18,1.03,65.18,74,35,38,36,57.66
23,10.83,48.48,21,33,94,81,58.75
18,10.72,83.39,45,66,72,46,66.75
23,4.49,73.79,82,49,69,91,62.72
16,8.75,82.67,36,43,42,66,61.58
20,3.78,65.08,78,32,56,43,57.84
19,9.35,43.98,35,28,47,80,48.52
20,7.17,58.9,77,68,95,84,82.75
23,4.3,58.9,83,45,99,86,78.12
19,5.4,40.52,69,68,99,33,71.3
19,8.59,40.57,45,61,97,78,67.6
18,10.97,59.85,36,64,90,64,55.32
22,2.44,83.66,65,96,40,82,66.79
18,7.29,77.44,87,40,40,61,72.05
18,3.79,54.34,69,48,60,39,52.72
20,9.82,76.17,62,43,54,91,61.9
20,1.77,78.84,67,96,20,31,55.66
21,8.58,71.35,87,61,97,92,86.26
23,2.92,71.28,38,90,86,45,64.82
21,7.56,62.18,44,60,89,45,61.45
16,10.19,47.4,91,67,23,32,62.06
23,9.31,63.13,37,98,20,47,62.2
23,9.28,60.72,70,96,40,71,83.03
24,6.7,75.52,37,62,71,61,50.89
24,10.8,91.38,77,27,72,79,65.55
17,7.47,62.52,83,82,99,78,85.64
17,11.09,82.58,90,82,75,32,79.35
18,7.01,88.71,76,25,92,34,68.16
16,6.57,52.71,36,93,85,86,78.25
19,3.45,94.1,78,71,86,73,77.92
19,6.99,44.23,86,40,52,54,58.24
24,2.55,94.1,34,33,42,52,46.27
24,10.57,49.82,45,77,25,39,55.32
24,8.43,60.23,67,44,66,39,65.33
22,11.93,76.31,33,75,77,62,79.97
17,2.01,94.34,28,28,24,47,32.7
20,3.65,55.34,26,55,96,56,55.7
19,10.65,85.81,74,76,96,64,80.27
23,5.35,82.63,31,98,28,91,67.08
17,6.13,49.58,36,24,22,47,35.74
21,10.47,68.77,92,26,80,36,60.87
20,6.74,68.89,27,25,83,39,41.59
17,3.13,58.28,61,98,65,56,81.61
16,10.81,86.8,95,71,75,84,85.32
23,1.34,95.56,56,93,58,77,64.42
17,10.85,82.99,39,89,32,55,64.43
22,1.56,98.38,20,74,60,69,50.66
24,8.32,43.03,28,96,30,75,58.86
24,1.79,42.23,43,33,60,40,45.11
23,8.77,93.63,53,20,94,80,62.38
24,1.37,93.87,55,92,66,61,69.41
17,10.27,46.43,23,56,68,49,50.01
21,6.13,61.45,48,68,84,34,54.27
19,2.03,90.12,35,31,54,70,53.4
19,8.78,47.71,27,24,54,42,49.3
20,6.38,56.05,58,89,86,32,72.74
18,3.1,80.86,77,30,23,44,51.9
16,1.17,98.91,31,72,43,85,53.76
23,5.6,87.83,63,74,55,72,64.49
20,1.94,86.64,23,93,96,75,67.82
18,2.04,60.56,44,98,75,77,70.73
22,3.94,79.68,89,69,23,65,73.22
22,7.94,46.79,86,72,59,52,73.83
16,6.83,99.54,58,74,62,84,79.59
24,1.76,68.84,43,22,77,84,47.4
17,11.65,78.33,25,35,81,83,53.29
20,10.76,92.57,91,64,26,94,82.14
20,3.85,40.06,52,55,28,80,57.89
23,2.35,98.56,67,38,41,61,53.07
23,11.37,61.55,86,23,23,49,56.46
22,6.07,60.38,21,78,55,65,56.71
22,4.42,48.7,57,31,89,61,57.48
21,6.39,91.49,59,82,86,86,76.14
21,9.5,92.25,75,75,54,58,86.11
24,2.85,41.2,40,46,52,75,46.14
21,9.44,43.34,54,87,26,64,66.72
17,9.24,95.1,94,43,74,81,77.41
17,6.93,47.37,94,45,66,44,54.86
20,10.52,77.26,86,41,81,80,75.52
19,2.45,77.18,79,89,86,60,78.1
17,7.55,92.18,42,38,83,45,53.22
18,5.94,74.36,84,53,62,65,63.48
22,5.65,66.04,82,30,37,68,64.82
23,3.78,98.46,42,64,22,40,42.71
21,5.1,53.73,61,56,78,49,61.58
20,2.19,55.76,83,42,81,85,64.2
16,3.77,45.09,85,59,58,71,62.01
23,3.99,98.52,60,62,83,76,72.89
18,8.93,82.38,39,23,92,35,54.28
21,1.53,40.73,28,34,79,64,41.62
18,8.16,82.26,76,42,61,37,57.61
22,3.44,64.25,94,31,24,66,57.6
22,1.9,98.05,36,87,65,79,66.47
24,4.31,56.64,97,87,23,45,70.0
20,3.47,82.62,37,71,33,38,57.01
23,7.07,77.65,82,60,30,89,75.13
23,4.93,40.72,91,97,79,80,83.8
16,11.63,93.11,91,78,41,75,91.19
20,11.6,48.38,45,77,24,41,56.21
18,5.88,79.82,91,78,72,93,81.98
16,9.75,86.53,91,91,31,50,81.81
19,1.15,77.86,97,42,40,34,59.69
23,7.03,45.83,32,20,98,35,47.01
18,9.18,98.51,36,75,43,72,52.1
17,3.39,54.21,45,94,32,55,51.15
24,1.67,77.67,25,23,45,83,30.56
20,2.72,87.83,23,48,59,32,43.01
22,5.86,96.35,26,36,45,40,38.71
17,6.57,76.24,36,68,64,54,56.8
24,5.19,55.54,69,70,49,41,61.22
24,5.84,90.2,25,68,83,94,68.16
19,6.17,49.79,49,43,92,33,60.8
19,9.46,41.34,93,63,57,81,74.17
21,2.16,94.49,75,60,37,94,62.3
21,9.46,74.52,58,76,28,63,59.39
16,8.57,44.18,33,75,75,45,59.57
24,9.16,74.78,73,51,57,43,70.77
17,9.08,48.7,41,50,40,90,58.9
20,6.18,41.88,76,35,90,82,68.66
24,3.33,46.99,60,51,31,87,47.96
19,6.9,86.51,29,61,55,92,57.01
18,11.54,85.34,21,53,30,42,44.36
22,7.47,76.26,86,56,86,74,76.47
21,1.12,52.56,67,35,46,84,55.71
23,1.66,84.34,61,32,82,62,61.49
18,11.92,64.48,30,85,90,91,86.99
20,1.79,70.65,93,52,85,68,67.84
19,1.51,93.86,31,54,93,42,60.4
19,4.88,67.47,33,56,86,42,54.86
19,11.66,77.58,49,95,84,45,74.53
23,4.51,97.71,79,59,53,83,79.81
21,5.51,67.08,96,27,96,59,78.75
18,7.97,73.64,49,73,97,68,71.72
20,1.27,75.06,57,26,53,93,46.0
21,10.88,54.44,94,21,83,41,58.19
20,6.71,84.22,84,75,36,31,74.08
21,6.13,83.6,66,76,70,62,61.86
23,10.47,52.81,58,68,75,44,67.84
22,11.48,40.8,68,88,67,81,75.44
20,5.66,99.94,92,97,81,64,95.98
21,2.9,74.9,77,27,75,67,68.28
19,9.97,50.86,36,82,30,71,50.83
24,5.44,57.01,25,90,39,36,53.69
19,11.29,77.07,34,65,87,85,70.21
16,11.45,48.26,86,97,53,34,79.41
22,2.26,42.24,47,86,61,69,59.79
22,11.52,87.91,92,65,60,90,89.92
19,5.05,82.95,63,97,81,94,79.34
18,8.11,58.58,37,86,36,94,73.1
23,1.38,43.51,51,61,31,71,46.92
20,10.78,69.18,88,83,87,64,91.4
22,8.06,56.57,63,92,60,54,77.62
19,8.08,63.87,89,72,33,35,65.01
19,10.92,56.44,82,90,23,37,62.93
23,6.59,50.52,95,26,96,64,65.62
23,5.52,63.22,77,26,93,82,59.56
17,10.53,97.89,66,55,33,48,65.49
17,9.17,55.97,36,32,28,38,38.34
18,11.44,60.16,58,86,62,62,81.21
18,11.34,59.75,78,39,39,37,61.9
16,5.21,68.82,26,92,20,67,52.92
18,5.92,90.61,82,72,91,61,80.38
21,3.82,64.13,76,71,36,52,56.25
23,8.27,88.37,94,80,39,63,76.64
21,5.01,46.9,53,80,78,75,70.24
20,9.65,93.69,72,75,32,61,67.4
19,2.34,51.12,85,59,96,30,67.09
18,2.28,42.35,97,82,66,36,79.55
19,3.25,49.5,67,76,69,53,62.47
22,1.93,51.44,79,23,96,31,60.0
16,7.82,70.51,62,45,59,47,64.14
22,2.62,67.0,92,81,26,85,73.61
16,2.76,82.95,23,95,74,61,56.73
17,1.16,43.06,97,73,70,39,72.59
19,9.6,69.86,94,81,95,69,94.36
16,9.94,59.95,71,37,21,63,52.73
24,2.78,77.84,51,29,33,62,38.74
21,9.13,42.62,70,55,36,86,58.6
16,5.77,42.1,29,21,96,51,47.82
16,3.64,65.64,31,79,20,77,49.35
21,7.84,88.68,58,66,20,61,55.17
19,2.96,80.27,99,92,45,74,69.69
19,9.33,41.0,87,51,65,31,76.34
21,1.52,50.71,29,88,32,84,52.13
22,11.55,53.6,92,70,53,88,84.38
24,1.79,65.38,29,86,81,62,68.35
20,7.37,75.2,42,96,92,43,91.03
24,10.92,52.99,96,86,70,88,92.56
19,1.13,62.95,32,87,60,44,57.87
17,6.48,75.04,67,75,74,60,64.81
18,4.85,63.01,63,33,47,58,41.06
16,7.38,48.59,99,35,80,76,60.45
21,3.48,69.5,83,95,26,86,72.73
21,1.71,59.44,59,94,97,87,73.41
16,7.89,91.85,25,85,21,60,51.94
18,5.59,86.54,91,52,95,82,86.27
20,7.85,51.42,62,32,21,93,53.39
18,3.32,49.16,51,49,47,31,47.65
18,4.73,60.86,68,45,73,89,65.36
18,7.18,64.73,93,32,95,77,69.94
20,7.52,95.92,38,87,77,77,69.27
20,5.1,58.1,71,52,66,90,59.34
19,4.08,92.06,71,34,80,33,62.69
16,4.01,70.32,53,36,59,55,59.71
20,2.92,93.14,78,25,37,51,57.3
20,4.58,82.12,24,24,33,72,36.25
19,3.19,82.5,85,52,44,49,66.37
21,7.97,71.13,60,73,29,77,66.32
19,7.26,90.42,53,35,67,90,60.23
22,5.21,55.27,73,65,67,52,68.86
22,4.58,94.44,39,43,80,90,51.55
17,3.61,78.21,73,24,72,92,57.22
18,6.89,66.32,85,86,28,48,67.35
16,11.11,98.93,37,95,30,42,56.44
23,8.54,91.72,63,69,46,31,66.49
24,9.19,86.32,67,60,78,80,77.19
19,10.18,56.43,54,74,77,30,55.43
21,4.87,98.42,98,39,32,70,63.4
24,1.69,84.58,58,69,84,39,62.74
21,7.85,76.31,22,54,30,32,39.23
24,3.08,95.31,38,69,76,37,50.09
19,7.26,49.73,37,98,86,65,73.04
23,9.13,48.34,24,52,85,69,56.82
24,9.62,73.82,74,86,43,68,73.22
19,4.32,43.4,32,90,68,76,67.61
20,6.64,79.84,53,29,59,89,58.65
23,7.83,54.44,37,60,98,37,52.33
21,10.01,47.14,87,59,89,66,82.72
22,9.38,64.57,91,25,21,92,54.46
18,11.87,67.96,62,52,73,56,66.32
22,1.09,50.23,84,35,34,32,57.36
23,5.81,42.49,60,43,67,68,57.85
21,3.82,64.84,57,79,73,35,70.46
24,2.32,85.57,57,93,65,39,66.84
21,11.03,92.45,32,30,76,58,58.09
24,11.98,45.85,41,63,74,58,63.8
19,2.99,71.48,48,22,79,49,46.42
23,1.42,55.8,28,57,49,41,43.99
19,4.03,62.48,87,59,47,42,58.28
17,10.18,96.01,36,38,71,68,53.91
24,4.23,61.12,56,59,60,68,62.94
20,1.63,61.92,83,72,40,74,70.54
19,1.58,52.56,86,96,61,70,73.19
17,5.7,97.6,23,55,32,72,55.25
16,11.25,67.39,59,86,64,91,87.18
22,4.15,74.22,35,39,73,32,42.54
21,5.7,67.19,30,47,38,38,40.33
17,2.12,55.18,45,76,46,73,57.17
23,6.43,88.62,91,22,59,63,67.86
19,8.66,41.71,84,56,26,48,64.17
23,3.98,81.41,21,37,44,47,36.76
22,4.26,75.66,64,65,68,75,60.82
20,10.26,48.66,62,24,55,70,45.0
23,1.11,49.95,22,92,90,78,64.86
24,8.0,79.55,53,95,43,81,80.85
20,5.33,58.73,99,76,80,72,83.1
20,4.28,55.94,84,45,88,39,68.64
17,8.23,43.55,83,52,71,67,71.49
20,10.18,85.99,26,55,55,67,46.59
18,7.14,92.96,54,41,70,76,68.56
22,1.34,89.19,41,36,52,36,38.74
20,6.08,67.96,67,63,72,41,61.96
23,6.09,72.04,51,71,93,81,74.31
16,6.98,54.54,45,41,57,62,48.35
18,8.38,50.37,25,88,63,53,54.79
18,1.21,89.38,65,20,24,77,48.32
24,6.52,87.9,74,49,50,60,63.37
20,7.47,86.64,94,58,28,52,71.76
24,4.78,67.8,74,98,51,44,71.73
24,8.35,91.87,76,54,60,67,66.98
16,3.51,95.57,82,88,24,57,70.47
17,4.49,59.7,20,89,70,50,60.19
20,11.59,53.48,40,30,73,56,50.32
19,4.83,67.86,39,70,47,76,53.31
24,4.81,50.76,92,82,62,85,84.18
22,7.55,93.04,48,53,31,43,53.42
21,11.68,60.28,62,74,88,50,77.52
22,11.81,74.57,64,97,91,43,74.5
16,7.38,75.68,84,92,36,57,76.92
16,1.01,70.9,22,39,27,66,36.55
23,10.91,49.39,39,99,37,62,64.96
17,7.27,99.46,56,77,29,41,63.66
24,5.03,50.36,57,36,58,41,46.84
22,10.12,85.09,93,53,60,80,78.2
21,5.4,87.48,64,94,63,64,67.65
16,1.37,48.71,61,81,88,41,72.4
16,10.03,95.99,65,53,62,48,61.9
17,7.0,69.27,79,91,66,88,84.47
21,4.72,77.73,32,38,94,42,58.04
21,3.76,78.53,50,85,67,48,70.7
17,7.53,70.3,87,91,38,65,79.44
16,3.29,48.52,81,61,40,33,63.18
20,4.56,85.11,68,70,22,42,65.53
20,8.0,74.91,37,90,75,35,67.61
17,10.7,47.12,94,68,62,73,84.42
21,6.86,82.02,72,48,20,37,47.63
24,9.35,82.17,37,49,55,62,51.29
17,9.39,72.91,70,44,25,81,66.31
17,8.31,45.43,60,87,93,42,74.85
18,3.7,61.16,86,81,65,39,70.52
22,10.53,43.06,84,57,42,63,66.5
21,5.8,68.66,25,36,39,56,36.41
23,1.49,94.39,93,93,72,87,84.01
23,3.69,40.14,56,20,57,73,41.34
21,9.42,56.0,31,37,54,34,42.41
18,1.76,87.99,21,82,53,66,54.36
18,2.62,40.59,72,65,69,85,75.48
16,8.64,40.61,44,38,66,80,54.8
22,10.82,76.65,47,69,55,85,58.52
20,7.97,87.35,64,73,35,71,71.24
19,3.45,86.59,56,50,68,42,60.83
19,1.59,86.77,36,84,84,63,60.79
19,7.77,61.66,88,65,82,63,82.1
21,1.52,92.96,75,54,71,82,66.36
23,7.74,40.77,77,68,92,32,80.81
23,3.48,58.73,23,53,95,66,66.18
20,10.95,60.23,74,48,79,81,74.63
21,6.23,49.93,68,25,36,35,50.12
19,3.46,60.17,57,20,86,50,59.21
24,10.38,75.15,64,74,57,74,77.42
23,3.79,71.22,49,46,48,34,50.5
16,4.37,59.17,56,31,50,32,45.36
17,10.18,84.96,75,23,78,49,56.96
24,4.4,82.89,46,99,73,90,73.52
23,5.51,56.84,51,71,72,64,63.66
18,4.82,59.39,30,30,45,61,40.2
23,2.28,57.25,77,71,32,48,51.2
16,1.43,47.73,96,45,76,44,63.67
19,8.97,85.17,54,47,38,86,56.94
18,8.1,42.78,36,91,46,55,54.72
21,4.11,49.03,49,85,32,31,57.6
22,4.25,46.32,37,46,71,78,57.39
19,11.4,89.52,49,74,83,77,75.15
22,11.86,42.64,35,90,77,61,64.81
24,6.21,79.88,94,73,38,32,69.55
17,9.83,42.67,73,65,22,49,64.69
18,9.1,87.19,23,55,86,66,62.64
20,4.27,94.76,34,40,45,49,44.16
18,1.64,69.21,95,68,25,89,69.68
23,2.57,88.27,46,53,32,88,48.28
23,10.22,82.38,23,53,46,71,55.46
23,9.04,87.74,54,59,29,52,54.78
24,8.31,86.01,82,26,35,70,53.8
19,2.44,52.32,85,71,42,56,70.21
20,8.04,69.97,58,68,66,75,69.36
20,9.49,97.62,47,56,31,46,54.9
23,10.47,60.61,53,81,47,31,67.12
22,1.15,98.23,52,34,96,44,54.93
24,8.53,74.99,69,21,37,86,49.2
23,1.21,67.7,79,30,77,70,58.37
17,8.78,79.47,91,36,21,43,50.44
19,7.99,88.95,91,64,65,37,80.17
21,2.63,63.65,61,87,36,36,55.03
17,9.43,41.98,47,80,83,55,79.87
22,1.75,82.53,94,65,84,32,69.34
18,10.09,97.37,46,51,73,75,67.56
18,3.88,77.5,20,38,62,33,49.6
17,8.58,51.3,27,86,97,86,72.92
23,11.16,54.89,65,23,95,75,63.33
21,4.74,94.59,43,44,74,43,54.04
16,6.53,40.81,59,92,33,32,58.26
16,6.09,72.92,70,40,63,42,48.39
22,2.73,49.52,43,33,57,37,45.63
23,7.49,56.97,41,41,77,85,47.46
20,9.17,58.42,93,67,68,31,68.42
20,11.09,53.16,87,70,35,75,73.78
19,10.36,87.54,27,99,93,60,72.11
21,6.61,59.93,77,30,49,64,59.26
21,8.91,60.73,34,78,87,91,78.56
18,9.81,67.18,27,33,90,75,53.75
24,6.43,94.14,61,26,99,53,58.22
22,2.27,81.29,58,88,56,94,79.2
16,5.82,43.7,54,77,88,73,74.65
22,10.27,42.36,60,59,74,80,73.79
20,7.56,73.98,67,44,58,75,66.62
20,8.97,93.22,97,97,76,62,90.5
17,3.04,59.4,90,61,68,93,71.82
19,11.61,54.87,63,63,82,55,67.36
21,5.44,84.89,54,24,53,68,53.22
22,8.19,76.13,46,47,76,87,64.36
20,1.21,73.9,84,95,81,55,83.33
24,2.4,48.96,89,79,58,86,65.69
18,9.6,50.56,85,96,93,37,91.78
16,11.65,56.91,90,40,86,63,72.75
19,4.52,52.41,91,68,81,39,63.69
24,1.41,98.29,82,75,48,51,61.39
19,4.97,41.12,99,76,50,41,70.29
17,1.19,77.56,48,80,79,58,61.29
20,3.12,71.06,50,57,58,60,55.91
18,9.28,59.4,83,92,98,35,88.59
